status,product_area,response,justification,request_type
escalated,account-management,"I understand you've lost access to your Claude team workspace after your IT admin removed your seat. Since you are not the workspace owner or admin, only an administrator with the appropriate permissions can restore your access by re-adding you to the team. Please contact your IT admin or workspace owner and ask them to re-invite you to the team workspace. If you need guidance on how they can do this, they can refer to the ""Manage members on Team and Enterprise plans"" documentation in the Claude support center. If you're unable to reach your admin or believe this was done in error, please contact Claude support for further assistance.","This is a product_issue (question about how access management works) but requires escalation because the user cannot self-resolve it. Only a workspace admin can restore seat access—the user is explicitly not an admin. While the docs explain how admins manage members, the user needs a human agent to either contact their admin on their behalf or investigate whether the removal was authorized. The user is requesting immediate restoration of access, which requires admin action that only a human support agent can facilitate or authorize.",product_issue
escalated,screen,"Thank you for reaching out about your test score. Score disputes and requests to review assessment results require investigation by our specialist team. Please contact support@hackerrank.com with details of your test, including the test name, date completed, and specific questions you believe were graded incorrectly. Our team will review your submission and provide guidance on next steps.","This is a score dispute that requires a human agent to review the candidate's actual test submission, verify the grading logic, and potentially escalate to the recruiter or hiring team. The support docs do not provide a self-service process for score reviews or appeals. While the docs show how recruiters can view reports, they do not address candidate disputes or score corrections. A human agent must investigate the specific case and determine if a re-grade or escalation to the hiring company is warranted. The contact email (support@hackerrank.com) is provided in the docs for assessment issues.",product_issue
replied,visa-consumer,"I understand you received the wrong product and the merchant isn't responding. Here's what you can do:

**File a Dispute with Your Card Issuer:**
Contact your bank or card issuer directly to report this transaction. They will initiate a dispute process on your behalf. This is the proper channel for addressing unauthorized or problematic charges.

**Report the Merchant to Visa:**
You can also report your concerns about this merchant by filling out Visa's online form here: [Report a purchase issue](https://usa.visa.com/Forms/visa-rules.html)

**Important to know:**
- Visa does not directly process refunds or manage cardholder accounts—your card issuer (your bank) handles refunds and disputes.
- Visa also does not directly control merchant access. Merchant enforcement is handled through the acquiring bank and payment processors.

**Next steps:**
1. Contact your card issuer immediately to file a dispute for the wrong merchandise.
2. Provide them with documentation (order confirmation, emails showing the merchant's non-response, photos of the wrong item if applicable).
3. Your issuer will guide you through their dispute resolution process and timeline.

If you need further assistance, you can contact Visa directly at 000-800-100-1219 or [send an email](https://usa.visa.com/Forms/contact-us-form.html).","This is a product_issue request—the user is asking how to resolve a merchant dispute and get a refund. The support documentation clearly outlines the dispute resolution process: cardholders must contact their card issuer (bank) to initiate a dispute, and can also report merchant concerns via Visa's online form. The user needs procedural information and contact details, which the corpus provides. No human action from Visa is required at this stage; the user can self-resolve by following the documented process. This is a REPLY, not an escalation.",product_issue
escalated,billing,"Thank you for contacting HackerRank support. I understand your mock interview was interrupted and you're requesting a refund. This requires investigation into your account and transaction history, which our billing team needs to handle directly. A support agent will contact you shortly to review what happened and discuss your refund request. We appreciate your patience.","The user is requesting a refund for a service interruption. While the support docs cover how to take mock interviews and purchase credits, they do not contain refund policies, procedures, or authorization guidelines. A human agent must investigate the account, determine what occurred during the interview interruption, verify the purchase, and make a refund decision. This requires personal action by the finance/billing team and cannot be resolved with information alone.",product_issue
escalated,billing,"Thank you for contacting HackerRank support. We understand you have a payment issue with order ID cs_live_abcdefgh. 

To help resolve this matter, please contact our support team directly at help@hackerrank.com with your order ID and details about the issue you experienced. Our support team will promptly review your request and assist you accordingly.

For reference, HackerRank's refund policy is as follows:
- Refunds do not apply to voluntary cancellations
- Refunds apply only to system-related issues or severe service disruptions
- Refunds are not issued for mid-cycle upgrades

Our support team will be able to investigate your specific situation and determine the appropriate resolution.","The user is reporting a payment issue with a specific order ID and requesting help. While the support documentation provides general refund policy information and a contact email (help@hackerrank.com), the user's vague complaint (""Give me my money"") combined with a specific order ID suggests this requires investigation into their account and transaction history. A human agent needs to review the order details, payment status, and determine if a refund or other resolution is warranted. The user is directed to contact support with their order ID so a human can take appropriate action.",product_issue
escalated,account-management,"Thank you for your interest in using HackerRank for hiring. Your request regarding information security (infosec) compliance and form completion is a specialized matter that requires direct engagement with our sales and compliance teams. Please contact HackerRank support directly:

**Email:** support@hackerrank.com

Or reach out to your dedicated customer account manager if you have one assigned. They will be able to guide you through your company's infosec process, answer compliance questions, and assist with any required documentation or forms.

We look forward to helping you get started with HackerRank for your hiring needs.","This is a product_issue request about onboarding and compliance processes. While the support docs cover HackerRank hiring features, they do not contain information about infosec processes, compliance forms, or company-specific security requirements. This requires a human agent (sales/compliance team) to engage directly with the customer to understand their specific infosec needs and provide appropriate documentation. The docs do provide a contact email (support@hackerrank.com) which allows us to reply with actionable next steps rather than escalate without guidance.",product_issue
replied,hackerrank,"Hi,

Thank you for reaching out. I understand you're unable to see the ""Apply"" tab and are having trouble with submissions.

Based on the HackerRank documentation, here are a few things to check:

**If you're a candidate in an interview:**
- When you join an interview, tabs are initially locked and hidden until the interviewer unlocks them. You should see a blank screen until the interviewer makes tabs visible. Once a tab is unlocked by the interviewer, you'll be able to view and interact with it.
- If you're not seeing any tabs, the interviewer may not have unlocked them yet. Please wait for the interviewer to unlock the question tabs.

**If you're trying to view assessment results:**
- Go to **Assets > Tables** and open the **Assessment results** table to review all candidate submissions from a centralized location.

**If the issue persists:**
- Try refreshing your page, as this can sometimes resolve display issues.

If you continue to experience problems after trying these steps, please contact the HackerRank support team directly for further assistance with your specific account or assessment.

Best regards","This is a product_issue question about how existing features work. The user is asking why they cannot see the ""Apply"" tab. The documentation explains that tabs are locked by default in interviews and must be unlocked by the interviewer before candidates can see them. This is a feature behavior question that can be answered with the provided documentation. No human action is required—the user needs information about how the feature works and what to expect.",product_issue
escalated,screen,Thank you for reporting this issue. We understand that submissions are not working across challenges on the platform. This appears to be a technical issue that requires investigation by our engineering team. Please contact HackerRank support at support@hackerrank.com or challenges@hackerrank.com with details about when the issue started and which challenges are affected. Our team will investigate and assist you as soon as possible.,"This is a widespread submission failure affecting all challenges—a clear bug/service issue. The support documentation does not provide troubleshooting steps for a complete submission system failure. While Doc 2 covers individual challenge loading issues and Doc 3 covers specific error messages, none address a platform-wide submission outage. This requires human investigation by the engineering/ops team to diagnose and resolve the underlying infrastructure or service issue. Escalation is appropriate.",bug
replied,screen,"Thank you for reaching out. I understand you're experiencing a Zoom connectivity issue during the compatibility check that's preventing you from taking the test.

Based on HackerRank's compatibility check system, here are the steps to resolve this:

1. **Review the compatibility check screen**: When you see the compatibility check page, it will display any detected issues. Look for the Zoom connectivity error message.

2. **Select ""See Fix""**: On the setup screen, you should see a **""See Fix""** button next to the Zoom connectivity issue. Click this to get specific guidance on resolving the problem.

3. **Common Zoom connectivity fixes**:
   - Ensure Zoom is properly installed and up to date
   - Check your internet connection stability
   - Disable any VPN or proxy that might be blocking Zoom
   - Check your firewall settings to ensure Zoom is allowed
   - Restart your browser and try the compatibility check again
   - If using the Desktop App, try reinstalling it

4. **WebSocket connectivity**: The platform also checks for WebSocket connectivity issues. If you see this error, it may be related to your network configuration. Review the guidance provided on the compatibility page.

If you've tried these steps and the issue persists, please contact HackerRank support directly for further assistance, as this may require investigation of your specific network configuration or system setup.

Is there anything else about the compatibility check process I can clarify?","This is a product_issue request—the user is asking how to resolve a compatibility check failure. The documentation clearly describes the compatibility check system, the ""See Fix"" button, and mentions that WebSocket connectivity issues are detected and guidance is provided. The user has already tried changing settings and system configurations, so they need procedural guidance on using the built-in troubleshooting features. This is information-based support that can be answered from the corpus without requiring human intervention or account-level actions.",product_issue
escalated,account-management,"Thank you for reaching out. I understand you need to reschedule your HackerRank assessment due to unforeseen circumstances. 

Assessment rescheduling requests require direct action from our support team, as they need to verify your candidacy, review the circumstances, and coordinate with your recruiting team to arrange an alternative date and time.

Please contact our support team directly at **support@hackerrank.com** with the following information:
- Your full name
- The company name conducting the assessment
- Your original assessment date and time
- Your preferred alternative dates/times
- A brief explanation of the circumstances

Our team will review your request and work with you to find a suitable alternative date for your assessment.

We appreciate your interest in this opportunity and will do our best to accommodate your request.","This is a request for a specific administrative action (rescheduling an assessment) that requires a human agent to verify the candidate's details, review the circumstances, and coordinate with the recruiting team. While the docs cover how to reschedule interviews (not assessments), assessment rescheduling due to missed appointments is not covered in the provided documentation and requires human judgment and access to candidate records. The user needs to contact support directly to initiate this process.",product_issue
